"Task Aware Debugger for GDB" version 11.6.1 (202207200623)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
07:12:59.530 INFO: [TadModel] DSF session ID 0 has started.
07:13:32.716 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
07:13:32.987 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, SIGNAL)
07:13:33.985 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, USER_REQUEST)
07:13:34.90 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
07:14:00.49 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, STEP)
07:14:00.206 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:00.991 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:01.144 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:01.903 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:02.52 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:09.447 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:09.602 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:10.293 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:10.519 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:11.352 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:11.681 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:12.571 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:12.695 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:14.710 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:14.833 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:15.719 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:15.843 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:16.647 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:16.772 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:18.776 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:18.847 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:22.981 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:23.340 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:24.756 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:25.83 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:26.172 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
07:14:26.352 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
07:14:27.449 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
